net,length_um
net33,609.87µm
net34,524.965µm
clknet_0_clk,145.74µm
clknet_3_0__leaf_clk,100.07µm
clknet_3_2__leaf_clk,90.72µm
net18,84.96µm
net4,77.16µm
net17,73.88µm
net1,72.8µm
clknet_3_5__leaf_clk,72.38µm
clknet_3_7__leaf_clk,71.77µm
net5,71.24µm
clknet_3_6__leaf_clk,65.26µm
net19,65.14µm
net6,64.78µm
net12,63.5µm
net16,63.3µm
clknet_3_3__leaf_clk,62.42µm
net3,57.74µm
clknet_3_1__leaf_clk,54.04µm
net7,51.94µm
net20,51.44µm
net21,47.96µm
net23,47.44µm
net8,44.96µm
clk,42.71µm
net26,42.34µm
net2,41.94µm
net15,41.86µm
dsa\[6\].y_out,35.88µm
clknet_3_4__leaf_clk,33.34µm
net32,32.04µm
net14,31.46µm
net27,30.88µm
net31,26.44µm
dsa\[14\].y_out,25.3µm
dsa\[11\].y_out,25µm
net22,23.72µm
dsa\[10\].y_out,22.64µm
dsa\[18\].y_out,20.18µm
dsa\[7\].y_out,20.035µm
net13,19.66µm
dsa\[24\].y_out,19.46µm
dsa\[5\].y_out,19.14µm
net9,18.39µm
dsa\[12\].y_out,17.9µm
dsa\[1\].y_out,17.14µm
dsa\[26\].y_out,16.64µm
dsa\[8\].y_out,16.42µm
dsa\[20\].y_out,16.14µm
dsa\[8\]._1_,15.48µm
dsa\[31\].y_out_next,15.34µm
dsa\[19\].y_out,15.22µm
dsa\[11\]._1_,15.18µm
a[31],14.86µm
dsa\[29\].y_out,14.6µm
net35,14.6µm
dsa\[10\].y_in,14.54µm
dsa\[27\].y_out,14.14µm
dsa\[21\].y_out_next,13.94µm
dsa\[17\].last_carry,13.48µm
dsa\[8\]._0_,13.42µm
a[24],13.4µm
net29,13.34µm
dsa\[15\].last_carry_next,13.2µm
a[23],12.94µm
dsa\[27\]._0_,12.66µm
dsa\[3\].y_out_next,12.6µm
dsa\[16\].y_out,12.58µm
dsa\[17\]._0_,12.56µm
dsa\[29\]._1_,12.32µm
dsa\[26\]._2_,12.3µm
dsa\[3\].y_out,12.14µm
a[0],12.02µm
a[11],12.02µm
a[12],12.02µm
a[15],12.02µm
a[17],12.02µm
a[18],12.02µm
a[21],12.02µm
a[22],12.02µm
a[26],12.02µm
a[29],12.02µm
a[3],12.02µm
a[4],12.02µm
a[5],12.02µm
a[6],12.02µm
a[8],12.02µm
a[9],12.02µm
dsa\[21\]._0_,11.88µm
net30,11.82µm
dsa\[28\].y_out_next,11.78µm
dsa\[13\].y_out,11.74µm
dsa\[12\]._0_,11.72µm
dsa\[30\].y_out,11.66µm
net28,11.64µm
net25,11.6µm
a[2],11.56µm
a[30],11.56µm
dsa\[26\]._1_,11.42µm
dsa\[30\].y_out_next,11.4µm
dsa\[23\].y_out,11.28µm
dsa\[12\]._1_,11.26µm
dsa\[16\].y_out_next,11.16µm
a[10],11.1µm
a[13],11.1µm
a[14],11.1µm
a[16],11.1µm
a[19],11.1µm
a[1],11.1µm
a[20],11.1µm
a[25],11.1µm
a[27],11.1µm
a[28],11.1µm
a[7],11.1µm
dsa\[11\]._0_,11.06µm
dsa\[27\].y_out_next,10.74µm
dsa\[2\].last_carry,10.5µm
dsa\[25\].y_out,10.46µm
dsa\[15\].y_out_next,10.4µm
dsa\[22\].y_out_next,10.4µm
dsa\[18\].last_carry_next,10.3µm
