Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_30_178,VPWR,li1,87.8600,95.2000,1.799997
FILLER_30_172,VPWR,li1,85.3300,95.2000,1.799997
FILLER_30_166,VPWR,li1,82.3400,95.2000,1.799997
FILLER_30_160,VPWR,li1,79.8100,95.2000,1.799997
FILLER_30_154,VPWR,li1,77.0500,95.2000,1.799997
FILLER_30_144,VPWR,li1,71.9900,95.2000,1.799997
FILLER_30_136,VPWR,li1,69.0000,95.2000,1.799997
FILLER_30_130,VPWR,li1,66.0100,95.2000,1.799997
FILLER_30_124,VPWR,li1,63.2500,95.2000,1.799997
FILLER_30_118,VPWR,li1,60.4900,95.2000,1.799997
FILLER_30_113,VPWR,li1,57.9600,95.2000,1.799997
FILLER_30_106,VPWR,li1,54.9700,95.2000,1.799997
FILLER_30_100,VPWR,li1,52.2100,95.2000,1.799997
FILLER_30_94,VPWR,li1,49.4500,95.2000,1.799997
FILLER_30_88,VPWR,li1,46.6900,95.2000,1.799997
FILLER_30_82,VPWR,li1,43.7000,95.2000,1.799997
FILLER_30_76,VPWR,li1,41.1700,95.2000,1.799997
FILLER_30_70,VPWR,li1,38.4100,95.2000,1.799997
FILLER_30_64,VPWR,li1,35.6500,95.2000,1.799997
FILLER_30_60,VPWR,li1,33.3500,95.2000,1.799997
FILLER_30_52,VPWR,li1,30.3600,95.2000,1.799997
FILLER_30_46,VPWR,li1,27.3700,95.2000,1.799997
FILLER_30_40,VPWR,li1,24.6100,95.2000,1.799997
FILLER_30_34,VPWR,li1,21.8500,95.2000,1.799997
FILLER_30_29,VPWR,li1,19.3200,95.2000,1.799997
FILLER_30_24,VPWR,li1,16.7900,95.2000,1.799996
FILLER_30_10,VPWR,li1,10.5800,95.2000,1.799995
FILLER_30_6,VPWR,li1,8.5100,95.2000,1.799995
FILLER_29_178,VPWR,li1,87.8600,89.7600,1.799713
FILLER_29_169,VPWR,li1,83.9500,89.7600,1.799713
FILLER_29_167,VPWR,li1,82.5700,89.7600,1.799714
FILLER_29_163,VPWR,li1,81.4200,89.7600,1.799714
FILLER_29_131,VPWR,li1,66.2400,89.7600,1.799730
FILLER_29_111,VPWR,li1,56.8100,89.7600,1.799748
FILLER_29_105,VPWR,li1,55.2000,89.7600,1.799748
FILLER_29_74,VPWR,li1,39.7900,89.7600,1.799809
FILLER_29_70,VPWR,li1,38.6400,89.7600,1.799809
FILLER_29_57,VPWR,li1,32.4300,89.7600,1.799845
FILLER_29_55,VPWR,li1,31.0500,89.7600,1.799845
FILLER_29_43,VPWR,li1,28.0600,89.7600,1.799863
FILLER_28_180,VPWR,li1,89.0100,89.7600,1.799713
FILLER_28_152,VPWR,li1,77.2800,89.7600,1.799717
FILLER_28_139,VPWR,li1,69.6900,89.7600,1.799725
FILLER_28_135,VPWR,li1,68.5400,89.7600,1.799725
FILLER_28_123,VPWR,li1,64.8600,89.7600,1.799730
FILLER_28_102,VPWR,li1,52.6700,89.7600,1.799755
FILLER_28_96,VPWR,li1,51.0600,89.7600,1.799761
FILLER_28_83,VPWR,li1,43.9300,89.7600,1.799790
FILLER_28_79,VPWR,li1,42.7800,89.7600,1.799790
FILLER_28_67,VPWR,li1,39.1000,89.7600,1.799809
FILLER_28_46,VPWR,li1,26.9100,89.7600,1.799880
FILLER_28_29,VPWR,li1,19.5500,89.7600,1.799905
FILLER_28_24,VPWR,li1,17.4800,89.7600,1.799901
FILLER_28_16,VPWR,li1,13.1100,89.7600,1.799897
FILLER_28_7,VPWR,li1,8.9700,89.7600,1.799895
FILLER_28_3,VPWR,li1,7.8200,89.7600,1.799895
FILLER_27_181,VPWR,li1,89.2400,84.3200,1.799807
FILLER_27_167,VPWR,li1,82.5700,84.3200,1.799807
FILLER_27_161,VPWR,li1,80.9600,84.3200,1.799807
FILLER_27_149,VPWR,li1,76.8200,84.3200,1.799807
FILLER_27_140,VPWR,li1,71.3000,84.3200,1.799808
FILLER_27_104,VPWR,li1,55.2000,84.3200,1.799822
FILLER_27_92,VPWR,li1,50.6000,84.3200,1.799830
FILLER_27_84,VPWR,li1,44.3900,84.3200,1.799854
FILLER_27_80,VPWR,li1,43.2400,84.3200,1.799854
