Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_30_178,VGND,li1,87.8600,92.4800,0.000136
FILLER_30_172,VGND,li1,85.3300,92.4800,0.000136
FILLER_30_166,VGND,li1,82.3400,92.4800,0.000136
FILLER_30_160,VGND,li1,79.8100,92.4800,0.000136
FILLER_30_154,VGND,li1,77.0500,92.4800,0.000135
FILLER_30_144,VGND,li1,71.9900,92.4800,0.000135
FILLER_30_136,VGND,li1,69.0000,92.4800,0.000133
FILLER_30_130,VGND,li1,66.0100,92.4800,0.000131
FILLER_30_124,VGND,li1,63.2500,92.4800,0.000129
FILLER_30_118,VGND,li1,60.4900,92.4800,0.000126
FILLER_30_113,VGND,li1,57.9600,92.4800,0.000123
FILLER_30_106,VGND,li1,54.9700,92.4800,0.000121
FILLER_30_100,VGND,li1,52.2100,92.4800,0.000117
FILLER_30_94,VGND,li1,49.4500,92.4800,0.000114
FILLER_30_88,VGND,li1,46.6900,92.4800,0.000109
FILLER_30_82,VGND,li1,43.7000,92.4800,0.000105
FILLER_30_76,VGND,li1,41.1700,92.4800,0.000098
FILLER_30_70,VGND,li1,38.4100,92.4800,0.000087
FILLER_30_64,VGND,li1,35.6500,92.4800,0.000080
FILLER_30_60,VGND,li1,33.3500,92.4800,0.000074
FILLER_30_52,VGND,li1,30.3600,92.4800,0.000068
FILLER_30_46,VGND,li1,27.3700,92.4800,0.000059
FILLER_30_40,VGND,li1,24.6100,92.4800,0.000057
FILLER_30_34,VGND,li1,21.8500,92.4800,0.000064
FILLER_30_29,VGND,li1,19.3200,92.4800,0.000068
FILLER_30_24,VGND,li1,16.7900,92.4800,0.000070
FILLER_30_10,VGND,li1,10.5800,92.4800,0.000076
FILLER_30_6,VGND,li1,8.5100,92.4800,0.000076
FILLER_29_178,VGND,li1,87.8600,92.4800,0.000136
FILLER_29_169,VGND,li1,83.9500,92.4800,0.000136
FILLER_29_167,VGND,li1,82.5700,92.4800,0.000136
FILLER_29_163,VGND,li1,81.4200,92.4800,0.000136
FILLER_29_131,VGND,li1,66.2400,92.4800,0.000131
FILLER_29_111,VGND,li1,56.8100,92.4800,0.000123
FILLER_29_105,VGND,li1,55.2000,92.4800,0.000121
FILLER_29_74,VGND,li1,39.7900,92.4800,0.000091
FILLER_29_70,VGND,li1,38.6400,92.4800,0.000091
FILLER_29_57,VGND,li1,32.4300,92.4800,0.000074
FILLER_29_55,VGND,li1,31.0500,92.4800,0.000068
FILLER_29_43,VGND,li1,28.0600,92.4800,0.000059
FILLER_28_180,VGND,li1,89.0100,87.0400,0.000242
FILLER_28_152,VGND,li1,77.2800,87.0400,0.000237
FILLER_28_139,VGND,li1,69.6900,87.0400,0.000232
FILLER_28_135,VGND,li1,68.5400,87.0400,0.000232
FILLER_28_123,VGND,li1,64.8600,87.0400,0.000229
FILLER_28_102,VGND,li1,52.6700,87.0400,0.000199
FILLER_28_96,VGND,li1,51.0600,87.0400,0.000192
