Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,376
design__instance__area,3325.69
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0008675220306031406
power__switching__total,0.00032912101596593857
power__leakage__total,3.5367357931193055E-9
power__total,0.0011966465972363949
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.009178491559917795
clock__skew__worst_setup__corner:nom_tt_025C_1v80,-0.009178491559917795
timing__hold__ws__corner:nom_tt_025C_1v80,0.4668578988873234
timing__setup__ws__corner:nom_tt_025C_1v80,9.158676742903094
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.466858
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,9.158677
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.014429680081454845
clock__skew__worst_setup__corner:nom_ss_100C_1v60,-0.014429680081454845
timing__hold__ws__corner:nom_ss_100C_1v60,0.9518968105401024
timing__setup__ws__corner:nom_ss_100C_1v60,8.28534508896717
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.951897
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,8.285345
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.007462128348668659
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,-0.007462128348668659
timing__hold__ws__corner:nom_ff_n40C_1v95,0.2971988017584601
timing__setup__ws__corner:nom_ff_n40C_1v95,9.490731136283323
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.297199
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,9.490731
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,0.00954621131386128
clock__skew__worst_setup,-0.01655681194564481
timing__hold__ws,0.2961438400550493
timing__setup__ws,8.277733399695066
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.296144
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,8.277734
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 97.025 107.745
design__core__bbox,5.52 10.88 91.08 95.2
design__io,38
design__die__area,10454
design__core__area,7214.42
design__instance__count__stdcell,376
design__instance__area__stdcell,3325.69
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.460978
design__instance__utilization__stdcell,0.460978
design__instance__count__class:sequential_cell,64
design__instance__count__class:multi_input_combinational_cell,162
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,541
design__instance__count__class:tap_cell,99
design__power_grid_violation__count__net:vccd1,0
design__power_grid_violation__count__net:vssd1,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,4728.24
design__violations,0
design__instance__count__class:timing_repair_buffer,35
design__instance__count__class:clock_buffer,13
design__instance__count__class:clock_inverter,3
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,305
route__net__special,2
route__drc_errors__iter:1,52
route__wirelength__iter:1,5401
route__drc_errors__iter:2,17
route__wirelength__iter:2,5403
route__drc_errors__iter:3,10
route__wirelength__iter:3,5387
route__drc_errors__iter:4,0
route__wirelength__iter:4,5379
route__drc_errors,0
route__wirelength,5379
route__vias,1733
route__vias__singlecut,1733
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,609.87
timing__unannotated_net__count__corner:nom_tt_025C_1v80,9
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,9
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,9
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.008217454727046665
clock__skew__worst_setup__corner:min_tt_025C_1v80,-0.008217454727046665
timing__hold__ws__corner:min_tt_025C_1v80,0.4653865480267506
timing__setup__ws__corner:min_tt_025C_1v80,9.16250923289249
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.465387
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
